date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,RJ,,state,693046,40429,True,17366189,33,3990.77771,0.0583
2021-04-15,RO,,state,201848,4704,True,1796460,11,11235.875,0.0233
2021-04-15,RS,Aceguá,city,257,2,True,4942,4300034,5200.32376,0.0078
2021-04-15,RS,Água Santa,city,393,9,True,3743,4300059,10499.59925,0.0229
2021-04-15,RS,Agudo,city,940,12,True,16401,4300109,5731.35784,0.0128
2021-04-15,RS,Ajuricaba,city,627,22,True,6987,4300208,8973.8085,0.0351
2021-04-15,RS,Alecrim,city,229,9,True,5827,4300307,3929.98112,0.0393
2021-04-15,RS,Alegrete,city,6019,186,True,73028,4300406,8242.04415,0.0309
2021-04-15,RS,Alegria,city,294,1,True,3374,4300455,8713.69295,0.0034
2021-04-15,RS,Almirante Tamandaré do Sul,city,162,1,True,1949,4300471,8311.95485,0.0062
2021-04-15,RS,Alpestre,city,261,7,True,6067,4300505,4301.96143,0.0268
2021-04-15,RS,Alto Alegre,city,131,0,True,1613,4300554,8121.51271,0.0
2021-04-15,RS,Alto Feliz,city,168,1,True,3036,4300570,5533.59684,0.006
2021-04-15,RS,Alvorada,city,15697,594,True,211352,4300604,7426.94652,0.0378
2021-04-15,RS,Amaral Ferrador,city,190,4,True,7085,4300638,2681.72195,0.0211
2021-04-15,RS,Ametista do Sul,city,497,11,True,7403,4300646,6713.49453,0.0221
2021-04-15,RS,André da Rocha,city,91,0,True,1343,4300661,6775.87491,0.0
2021-04-15,RS,Anta Gorda,city,520,4,True,5961,4300703,8723.36856,0.0077
2021-04-15,RS,Antônio Prado,city,1605,16,True,13045,4300802,12303.56458,0.01
2021-04-15,RS,Arambaré,city,140,4,True,3562,4300851,3930.37619,0.0286
2021-04-15,RS,Araricá,city,902,24,True,5771,4300877,15629.87351,0.0266
2021-04-15,RS,Aratiba,city,333,5,True,6189,4300901,5380.51381,0.015
2021-04-15,RS,Arroio do Meio,city,2493,28,True,20967,4301008,11890.11303,0.0112
2021-04-15,RS,Arroio do Padre,city,119,1,True,2951,4301073,4032.53135,0.0084
2021-04-15,RS,Arroio do Sal,city,870,27,True,10279,4301057,8463.85835,0.031
2021-04-15,RS,Arroio dos Ratos,city,745,28,True,14177,4301107,5254.99048,0.0376
2021-04-15,RS,Arroio do Tigre,city,917,17,True,13413,4301206,6836.65101,0.0185
2021-04-15,RS,Arroio Grande,city,1085,42,True,18238,4301305,5949.11723,0.0387
2021-04-15,RS,Arvorezinha,city,656,21,True,10423,4301404,6293.77339,0.032
2021-04-15,RS,Augusto Pestana,city,297,5,True,6602,4301503,4498.63678,0.0168
2021-04-15,RS,Áurea,city,153,3,True,3535,4301552,4328.1471,0.0196
2021-04-15,RS,Bagé,city,6360,155,True,121335,4301602,5241.68624,0.0244
2021-04-15,RS,Balneário Pinhal,city,648,33,True,14363,4301636,4511.59229,0.0509
2021-04-15,RS,Barão,city,459,7,True,6202,4301651,7400.83844,0.0153
2021-04-15,RS,Barão de Cotegipe,city,527,6,True,6620,4301701,7960.72508,0.0114
2021-04-15,RS,Barão do Triunfo,city,355,4,True,7519,4301750,4721.37252,0.0113
2021-04-15,RS,Barracão,city,283,7,True,5256,4301800,5384.32268,0.0247
2021-04-15,RS,Barra do Guarita,city,105,3,True,3257,4301859,3223.82561,0.0286
2021-04-15,RS,Barra do Quaraí,city,198,2,True,4227,4301875,4684.17317,0.0101
2021-04-15,RS,Barra do Ribeiro,city,925,45,True,13556,4301909,6823.54677,0.0486
