date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-01-21,AC,Tarauacá,city,3296,14,True,43151,1200609,7638.29343,0.0042
2021-01-21,AC,Xapuri,city,2119,14,True,19596,1200708,10813.43131,0.0066
2021-01-21,BA,Abaíra,city,148,3,True,8710,2900108,1699.19633,0.0203
2021-01-21,BA,Abaré,city,184,1,True,20347,2900207,904.31022,0.0054
2021-01-21,BA,Acajutiba,city,272,6,True,15187,2900306,1791.00547,0.0221
2021-01-21,BA,Adustina,city,176,4,True,17126,2900355,1027.67722,0.0227
2021-01-21,BA,Água Fria,city,92,5,True,17033,2900405,540.12799,0.0543
2021-01-21,BA,Aiquara,city,349,6,True,4416,2900603,7903.07971,0.0172
2021-01-21,BA,Alagoinhas,city,7356,102,True,152327,2900702,4829.0848,0.0139
2021-01-21,BA,Alcobaça,city,901,16,True,22490,2900801,4006.22499,0.0178
2021-01-21,BA,Almadina,city,399,6,True,5366,2900900,7435.7063,0.015
2021-01-21,BA,Amargosa,city,939,18,True,37441,2901007,2507.94583,0.0192
2021-01-21,BA,Amélia Rodrigues,city,915,16,True,25048,2901106,3652.98627,0.0175
2021-01-21,BA,América Dourada,city,376,2,True,16090,2901155,2336.85519,0.0053
2021-01-21,BA,Anagé,city,353,7,True,21607,2901205,1633.72981,0.0198
2021-01-21,BA,Andaraí,city,461,2,True,13132,2901304,3510.50868,0.0043
2021-01-21,BA,Andorinha,city,412,7,True,14503,2901353,2840.79156,0.017
2021-01-21,BA,Angical,city,293,5,True,13938,2901403,2102.16674,0.0171
2021-01-21,BA,Anguera,city,156,0,True,11297,2901502,1380.89758,0.0
2021-01-21,BA,Antas,city,656,0,True,19479,2901601,3367.72935,0.0
2021-01-21,BA,Antônio Cardoso,city,152,4,True,11677,2901700,1301.7042,0.0263
2021-01-21,BA,Antônio Gonçalves,city,364,2,True,11878,2901809,3064.48897,0.0055
2021-01-21,BA,Aporá,city,303,8,True,17788,2901908,1703.39555,0.0264
